Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,010CALS.d,12/18/21 12:12 PM,,CalStd,9,500,,493.048,1,,,493.841,0.3,660.536,95.8,496.312,0.6,494.879,0.3,493.595,0.2,498.128,0.5,496.998,0.6,495.821,0.7,493.649,0.8,493.942,0.4,494.292,0.4,492.684,0.9,495.847,0.5,495.078,0.8,497.601,1.2,496.431,0.8,492.857,0.6,495.966,0.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,011CALS.d,12/18/21 12:16 PM,,CalStd,10,1000,,1004.726,1.4,,,1003.161,1.1,720.584,0,1001.649,0.9,1002.34,1.2,1002.69,0.2,1000.566,0.3,999.878,1,1000.16,0.6,1002.659,0.2,1003.138,0.1,1002.447,0.4,1003.283,0.8,1000.741,1.4,1001.957,1,1000.759,0.6,1001.544,0.7,1002.345,0.9,1001.357,0.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,012BLKV.d,12/18/21 12:21 PM,,BlkVrfy,,blank verify,,0.346,1.6,,,0.01,2.9,540.438,88.2,0.009,4.8,0.01,4.5,0.009,9.8,0.008,15.7,0.009,19.4,0.009,16.2,0.01,9,0.01,28.9,0.009,3.6,0.009,2.3,0.01,2.7,0.01,3.2,<0.000,N/A,0.01,6.1,0.01,10.2,0.009,5.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,013SMPL.d,12/18/21 12:26 PM,,Sample,,3175_1_10-30,,0.158,0.6,,,0.005,6.2,1321.071,20.8,34.606,0.9,0.004,1.5,0.003,7.5,0.004,18.4,0.003,16.6,0.004,28.3,17.268,0.3,17.209,0.2,0.006,19.6,0.002,9.4,0.003,10.8,0.002,6.7,<0.000,N/A,0.005,7.4,30.353,0.4,0.003,9.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,014SMPL.d,12/18/21 12:31 PM,,Sample,,3175_1_10-60,,0.131,3.2,,,0.004,6,660.536,41.7,187.831,0.8,0.006,3.8,0.002,5.9,0.002,59.8,0.002,19.6,0.003,19,133.481,0.8,133.336,0.6,0.018,5.4,0.002,3.1,0.002,18.1,0.002,13.5,<0.000,N/A,0.022,1,202.596,0.6,0.004,9.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,015SMPL.d,12/18/21 12:36 PM,,Sample,,3175_1_50-10,,0.124,1.2,,,0.003,2.2,420.341,49.5,32.555,0.9,0.004,6.7,0.002,22.1,0.002,35.3,0.002,11.5,0.002,51.1,18.275,0.6,18.716,1.2,0.004,9.3,0.001,16.5,0.001,9.5,0.002,8.1,<0.000,N/A,0.004,2.1,17.263,0.7,0.002,6.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,016SMPL.d,12/18/21 12:41 PM,,Sample,,3175_1_50-30,,0.115,2.5,,,0.003,11.6,420.341,89.2,126.026,1.1,0.006,5.3,0.001,17,0.002,53.9,0.002,10.8,0.001,36.1,98.572,0.2,98.886,0.6,0.012,10.7,0.001,20.7,0.001,10.4,0.001,18.6,<0.000,N/A,0.015,1.4,119.347,0.3,0.002,4.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,017SMPL.d,12/18/21 12:46 PM,,Sample,,3175_2_10-30,,0.105,3,,,0.002,16.2,900.73,0,31.724,0.7,0.003,0.9,0.001,16.3,0.001,75.5,0.001,4.2,0.001,39.8,15.296,0.1,15.25,0.4,0.003,23.3,0,2.3,0,31.2,0,15.1,<0.000,N/A,0.003,5.3,26.635,0.4,0.001,10.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,018SMPL.d,12/18/21 12:51 PM,,Sample,,3175_2_10-60,,0.102,2.3,,,0.003,9.2,960.779,21.7,196.374,0.1,0.004,6.6,0,11.7,0.001,57.7,0.001,50,0.001,65.5,140.077,0.4,139.286,0.5,0.016,7.2,0,34.8,0,65.5,0,10.4,<0.000,N/A,0.021,2.2,207.26,0.5,0.002,4.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,019SMPL.d,12/18/21 12:56 PM,,Sample,,3175_2_50-10,,0.1,2.6,,,0.001,4.6,780.633,26.6,32.281,0.7,0.003,8.8,0,30,0,173.2,0.001,44.4,0,69.3,17.919,0.1,17.903,0.9,0.003,14.1,0,33.3,0.001,46.6,0,33.3,<0.000,N/A,0.003,4.8,16.894,0.2,0,31.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,020SMPL.d,12/18/21 01:01 PM,,Sample,,3175_2_50-30,,0.098,3.2,,,0.002,19.2,1200.974,37.7,128.552,0.6,0.005,4.9,0,24.3,0.001,91.7,0.001,43.8,0,62.4,99.598,1.3,98.324,0.4,0.011,2.9,0,11.1,0,103.3,0,20.8,<0.000,N/A,0.015,1.7,119.596,0.9,0.001,1.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,021SMPL.d,12/18/21 01:06 PM,,Sample,,3175_3_10-30,,0.096,0.9,,,0.001,10.8,780.633,48,42.699,0.2,0.002,6.9,0,23.5,0.001,107.9,0.001,13.9,0,86.6,23.441,0.3,23.136,0.2,0.003,10.5,0,85.3,0,56.8,0,28.6,<0.000,N/A,0.004,12.7,37.192,1,0,7.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,022SMPL.d,12/18/21 01:11 PM,,Sample,,3175_3_10-60,,0.09,2.4,,,0.002,13.3,1140.925,39.7,193.752,0.6,0.004,9.1,0,31.8,0,100,0.001,50.8,0,33.3,141.251,0.9,140.295,0.5,0.016,2.4,0,65.8,0,13.3,0,27,<0.000,N/A,0.022,2.2,209.576,2,0.002,4.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,023SMPL.d,12/18/21 01:16 PM,,Sample,,cal check 10,,8.788,0.6,,,9.231,0.2,840.682,32.7,9.463,0.2,9.464,0.5,9.503,0.4,9.528,0.8,9.525,0.2,9.502,0.3,9.53,0.2,9.437,0.3,9.469,0.4,9.691,1.5,9.566,0.5,9.602,0.2,8.96,0.6,9.985,2,9.573,0.2,9.936,0.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,024SMPL.d,12/18/21 01:21 PM,,Sample,,blank,,0.161,2.7,,,0.001,8.1,600.487,91.7,0.002,6.7,0.001,9.2,0,7.2,0.001,66.7,0.001,34.6,0.001,13.3,0.001,22.6,0.001,39.7,0,25,0,14.3,0,50,0,8.9,<0.000,N/A,0,26.1,0.001,5.9,0,25,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,025SMPL.d,12/18/21 01:26 PM,,Sample,,3175_3_50-10,,0.101,1.5,,,0.002,16.2,840.682,61.9,29.428,0.5,0.003,5.5,0,38,0.001,132.3,0.001,13.3,0,75.5,15.469,0.2,15.428,0.6,0.003,16.4,0,47.2,0,53.9,0,21.7,<0.000,N/A,0.002,8.1,14.896,0.5,0,6.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,026SMPL.d,12/18/21 01:31 PM,,Sample,,3175_3_50-30,,0.093,1.5,,,0.002,19.4,660.536,31.5,128.697,0.3,0.005,2.1,0,24.6,0.001,137.8,0.001,7.5,0,33.3,100.281,1.1,98.96,0.5,0.011,5.6,0,97.2,0,70.5,0,41.7,<0.000,N/A,0.015,1.5,119.223,1.1,0.001,13.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,027SMPL.d,12/18/21 01:36 PM,,Sample,,4799_1_10-30,,0.088,3,,,0.002,4.4,840.682,24.7,46.04,0.7,0.002,16.5,0,27.4,0.001,34.6,0.001,27,0,65.5,24.248,0.9,24.57,1,0.004,13,0,13.3,0,26.6,0,28.6,<0.000,N/A,0.003,4.3,38.47,0.4,0,32.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,028SMPL.d,12/18/21 01:41 PM,,Sample,,4799_1_10-60,,0.096,3.6,,,0.018,5.5,1200.974,22.9,204.704,0.4,0.021,3.1,0.017,4.4,0.018,34,0.018,3,0.018,15,154.455,0.3,152.456,0,0.034,6.9,0.017,5.3,0.017,5.3,0.018,4.5,<0.000,N/A,0.039,3.5,223.046,0.8,0.018,2.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,029SMPL.d,12/18/21 01:46 PM,,Sample,,4799_1_50-10,,0.087,1.3,,,0.002,5.5,1080.876,44.1,32.761,0.8,0.003,8,0,25.8,0,43.3,0.001,33.3,0,100,18.641,0.1,19.389,0.9,0.003,11.5,0,75.5,0,17.3,0,41.7,<0.000,N/A,0.003,3.9,17.791,0.3,0,37.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,030SMPL.d,12/18/21 01:51 PM,,Sample,,4799_1_50-30,,0.088,1.4,,,0.002,5.2,1200.974,56.8,128.48,0.1,0.005,5.3,0,9.1,0,86.6,0.001,47.2,0,66.1,98.983,0.8,98.313,1,0.011,5.5,0,65.5,0,69.3,0,41.7,<0.000,N/A,0.015,5.3,118.452,1.4,0.001,12.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,031SMPL.d,12/18/21 01:56 PM,,Sample,,4799_2_10-30,,0.086,2.6,,,0.002,2.2,1321.071,15.7,47.697,0.9,0.002,5.4,0.001,18.2,0.001,57.3,0.001,62.4,0.001,53.9,26.279,1.9,25.885,1.9,0.005,6.7,0,32,0,71,0,45.4,<0.000,N/A,0.004,12.5,41.387,0.9,0.001,8.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1621.31 is over the calibration range,FALSE,032SMPL.d,12/18/21 02:01 PM,,Sample,,4799_2_10-60,,0.086,4.5,,,0.005,11.1,1621.315,11.1,205.703,1,0.008,6.4,0.003,22.3,0.003,25,0.004,14.4,0.003,62.9,151.378,0.7,151.641,0.5,0.019,4.7,0.003,24.9,0.004,20.6,0.003,29.5,<0.000,N/A,0.025,1.2,221.186,0.4,0.005,23.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,033SMPL.d,12/18/21 02:06 PM,,Sample,,4799_2_50-10,,0.087,3.8,,,0.005,25,1080.876,76.4,33.395,0.7,0.006,10.1,0.003,24.8,0.004,50,0.004,43.4,0.002,21.8,19.113,0.6,19.988,0.2,0.005,20.5,0.003,24.7,0.003,17.8,0.003,21.8,<0.000,N/A,0.006,13.1,17.844,0.1,0.003,33.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,034SMPL.d,12/18/21 02:11 PM,,Sample,,4799_2_50-30,,0.09,1.4,,,0.005,10,600.487,62.4,131.435,0.9,0.008,0.2,0.003,22.3,0.004,77.1,0.003,42.1,0.003,19.2,103.811,0.7,103.402,0.6,0.014,7.2,0.003,22.1,0.003,15.7,0.003,17.2,<0.000,N/A,0.018,3.4,124.225,0.2,0.004,13.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,035SMPL.d,12/18/21 02:16 PM,,Sample,,cal check 25,,21.714,0.3,,,23.334,0.5,600.487,75.5,24.137,0.4,24.113,0.6,23.865,0.3,23.216,0.5,23.217,0.3,22.966,0.3,24.127,1.2,24.005,0.9,23.091,0.3,24.133,1.1,23.343,0.3,24.219,0.7,22.733,0.3,24.303,1.1,23.258,0.8,24.496,0.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,036SMPL.d,12/18/21 02:21 PM,,Sample,,blank,,0.176,1.4,,,0.001,16.2,720.584,43.3,0.002,7.8,0.002,21.8,0.001,4.7,0.001,100,0.001,11.2,0.001,62.5,0.002,22.2,0.002,36.4,0.001,11.9,0.001,9.7,0.001,40,0.001,10.8,<0.000,N/A,0.001,5.8,0.002,47.3,0.001,15.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.33 is over the calibration range,FALSE,037SMPL.d,12/18/21 02:26 PM,,Sample,,4799_3_10-30,,0.094,4.2,,,0.004,13.7,1561.326,43.7,40.687,0.5,0.004,11.8,0.003,22,0.003,21.5,0.003,23.1,0.003,47.1,19.968,0.3,20.791,0.7,0.006,11.1,0.002,17.2,0.003,15.3,0.003,24,<0.000,N/A,0.006,11.4,33.796,0.3,0.003,15.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1261.08 is over the calibration range,FALSE,038SMPL.d,12/18/21 02:31 PM,,Sample,,4799_3_10-60,,0.084,5.8,,,0.006,12.3,1261.083,100,194.086,0.7,0.007,15.8,0.003,10.1,0.005,23.1,0.004,14.5,0.004,55.1,140.228,0.7,138.636,0.9,0.018,8.5,0.003,13.9,0.003,12,0.003,19.1,<0.000,N/A,0.025,2.3,209.939,1,0.005,12.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,039SMPL.d,12/18/21 02:36 PM,,Sample,,4799_3_50-10,,0.087,1.6,,,0.004,14,960.779,21.7,33.254,0.8,0.005,8,0.003,18.3,0.003,34.4,0.003,15.8,0.004,18.2,19.131,0.1,19.969,0.3,0.005,8.5,0.003,14.9,0.003,19,0.003,26.3,<0.000,N/A,0.005,2.4,18.356,0.2,0.003,21.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1200.97 is over the calibration range,FALSE,040SMPL.d,12/18/21 02:41 PM,,Sample,,4799_3_50-30,,0.085,1.6,,,0.005,13.3,1200.974,22.9,129.302,0.3,0.007,3.9,0.003,24.5,0.002,24.7,0.003,34.3,0.002,32.8,101.644,0.6,100.224,1.3,0.011,7.8,0.002,21.9,0.003,28.1,0.003,34.9,<0.000,N/A,0.018,3,122.71,1.1,0.004,10.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,041SMPL.d,12/18/21 02:47 PM,,Sample,,3183_1_10-30,,0.081,2.7,,,0.003,10.4,900.73,34.6,30.032,0.3,0.003,6.1,0.002,5.6,0.004,42.3,0.003,7.8,0.002,18.8,14.921,0.3,14.868,0.3,0.005,17.8,0.002,14.3,0.003,7.9,0.002,19,<0.000,N/A,0.005,6.7,24.062,0.7,0.002,12,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1561.27 is over the calibration range,FALSE,042SMPL.d,12/18/21 02:52 PM,,Sample,,3183_1_10-60,,0.077,3.4,,,0.007,19.6,1561.266,24,178.981,0.8,0.006,11.6,0.003,10.7,0.003,11.1,0.004,9.6,0.003,15.7,125.864,0.4,124.977,0.7,0.018,13.1,0.003,14.3,0.003,13.6,0.003,5.5,<0.000,N/A,0.022,4.2,186.603,1,0.004,9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,043SMPL.d,12/18/21 02:57 PM,,Sample,,3183_1_50-10,,0.078,3.4,,,0.003,19.1,720.584,75,30.064,0.4,0.003,9.1,0.001,15.3,0.001,43.3,0.001,9.1,0,34.6,16.464,0.2,16.43,0.6,0.003,7.4,0,32.7,0,26.6,0,32.8,<0.000,N/A,0.003,1.5,15.58,0.4,0,35.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1020.83 is over the calibration range,FALSE,044SMPL.d,12/18/21 03:02 PM,,Sample,,3183_1_50-30,,0.075,1.1,,,0.004,8.2,1020.828,44.4,123.368,0.9,0.005,5.9,0,23,0.001,45.8,0.001,44.1,0,34.6,93.442,0.6,92.4,1,0.011,7.7,0,28.9,0,34.6,0,32.5,<0.000,N/A,0.014,2.8,112.869,1,0.001,7.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,045SMPL.d,12/18/21 03:07 PM,,Sample,,3183_2_10-30,,0.073,1.3,,,0.003,9,1140.925,77.9,28.312,0.9,0.002,12.3,0,35.9,0.001,57.3,0.001,71.4,0,57.7,13.473,0.4,13.483,0.6,0.003,30.5,0,24.1,0,75.8,0,62.4,<0.000,N/A,0.002,9.5,22.031,0.8,0,16.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1741.53 is over the calibration range,FALSE,046SMPL.d,12/18/21 03:12 PM,,Sample,,3183_2_10-60,,0.069,1.7,,,0.004,4.5,1741.532,26,181.477,1.8,0.004,4.7,0,17.1,0.001,66.7,0.001,8.7,0,75.5,126.293,1.2,125.589,0.7,0.015,4.8,0,94.4,0,43.3,0,41.9,<0.000,N/A,0.019,1.5,185.86,0.7,0.002,15.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,047SMPL.d,12/18/21 03:17 PM,,Sample,,cal check 50,,45.442,1.5,,,45.277,1.2,660.536,87.7,46.625,0.4,46.868,0.6,46.649,1.1,47.202,0.9,45.959,0.5,45.589,0.4,47.306,0.8,47.587,0.4,45.877,0.5,47.04,1.3,48.218,2,46.914,0.3,47.985,1.2,47.224,0.8,48.528,1.2,47.295,1.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,048SMPL.d,12/18/21 03:22 PM,,Sample,,blank,,0.188,1.4,,,0.002,16.2,600.487,17.3,0.003,9.8,0.002,6.2,0.001,18.5,0.001,25,0.001,16.9,0.001,33.4,0.002,1.7,0.002,18.9,0.001,6.2,0.001,25.8,0.001,32.7,0.001,1.6,<0.000,N/A,0.001,5.4,0.003,14.5,0.001,12.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1381.18 is over the calibration range,FALSE,049SMPL.d,12/18/21 03:27 PM,,Sample,,3183_2_50-10,,0.089,0.7,,,0.005,2.7,1381.18,96.1,31.16,0.9,0.005,3.2,0.002,6.6,0.002,75.6,0.003,26.3,0.003,17,17.201,0.3,17.108,0.6,0.004,12.3,0.002,8.7,0.002,13.8,0.002,6.4,<0.000,N/A,0.004,5.6,16.534,0.5,0.002,12,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1140.93 is over the calibration range,FALSE,050SMPL.d,12/18/21 03:32 PM,,Sample,,3183_2_50-30,,0.082,2.7,,,0.008,2.3,1140.925,63.8,124.702,1.3,0.008,6.9,0.004,5.9,0.006,9.2,0.005,30.4,0.004,32.8,95.764,0.8,95.349,0.6,0.014,3.3,0.004,6.5,0.004,8.3,0.003,9.9,<0.000,N/A,0.019,3.5,115.292,1.1,0.005,10.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1080.88 is over the calibration range,FALSE,051SMPL.d,12/18/21 03:37 PM,,Sample,,3183_3_10-30,,0.083,5.4,,,0.009,2.8,1080.876,0,34.966,0.9,0.007,0.9,0.006,6.4,0.005,21,0.006,10.4,0.005,6.5,17.182,0.3,17.213,0.5,0.009,12,0.006,5,0.006,5.3,0.005,4.5,<0.000,N/A,0.008,2.3,28.408,0.2,0.006,10.5,,
