Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,Acq. Date-Time,,Type,Level,Sample Name,Comment,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,001CALB.d,12/18/21 11:28 AM,,CalBlk,,blank,,0.244,4,,,0.001,25.7,480.39,21.7,0,39.9,0.001,7.3,0,12.5,0,100,0.001,24.7,0,56.8,0,43.5,0.001,62.4,0,91.7,0,12.7,0,25,0,7.7,<0.000,N/A,0,22,0.001,20.8,0,7.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,002CALS.d,12/18/21 11:33 AM,,CalStd,1,1,,1.036,1,,,1.007,0.3,300.243,34.6,1.012,0.3,1.016,0.5,1.009,0.4,1.004,2.6,1.001,0.5,1.004,0.7,1.002,0.9,1,1.1,0.987,1.9,1.007,0.5,1.002,1.2,1.002,0.4,0.336,1.7,1.004,0.8,1.009,2,1.001,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,003CALS.d,12/18/21 11:38 AM,,CalStd,2,2,,1.982,1.1,,,2.007,0.2,540.438,57.7,2.004,0.5,2.009,0.5,1.996,0.7,2.035,0.3,1.998,0.8,1.991,0.5,2.005,1.2,1.994,2.3,1.977,1.4,2.007,0.2,2.011,0.2,2.018,0.4,1.34,0.6,2.008,0.2,1.995,1.2,2.005,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,004CALS.d,12/18/21 11:43 AM,,CalStd,3,5,,4.838,0.4,,,4.976,0.1,300.243,91.7,4.978,0.3,4.965,0.1,4.978,0.2,4.958,1.2,4.941,0.1,4.925,1,4.947,0.5,4.941,0.7,4.923,0.4,4.967,0.3,4.966,0.3,4.993,0.8,4.341,0.5,5,0.6,4.927,0.2,4.968,0.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,005CALS.d,12/18/21 11:48 AM,,CalStd,4,10,,9.683,0.6,,,9.936,0.3,180.146,0,10.006,0.7,9.972,0.2,9.947,0.5,9.984,0.8,9.936,0.1,9.876,0.5,9.929,0.4,9.874,0.6,9.842,0.7,10.313,0.7,9.967,0.5,10.2,0.8,9.339,0.2,10.361,0.7,9.893,0,10.313,1.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,006CALS.d,12/18/21 11:53 AM,,CalStd,5,25,,24.167,0.1,,,25.684,0.8,480.39,21.7,25.672,0.7,25.931,1.6,25.689,0.4,24.994,0.7,24.916,0.2,24.736,0.2,25.795,1.3,25.607,0.8,24.623,0.8,25.854,1.1,24.933,0.1,25.501,1,24.442,0.4,25.637,1.4,24.79,0.7,25.673,0.8,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,007CALS.d,12/18/21 11:58 AM,,CalStd,6,50,,50.458,0.6,,,50.148,1.3,660.536,15.7,50.67,0.7,50.512,0.3,50.164,0.7,51.831,1.1,50.233,0.2,49.998,0.2,51.797,0.8,50.989,1.5,49.832,0.5,50.465,0.6,53.17,0.6,50.875,1,52.03,0.5,50.726,0.6,52.063,2.5,50.701,0.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,008CALS.d,12/18/21 12:03 PM,,CalStd,7,100,,98.589,1.2,,,98.944,0,600.487,62.4,100.011,0.4,99.564,0.2,99.915,0.5,102.728,0.4,103.138,0.7,103.79,1.2,100.01,0.6,100.26,1,102.849,0.7,100.413,0.6,103.651,0.6,100.344,1.3,102.253,0.6,100.568,0.3,103.211,0.9,100.197,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,009CALS.d,12/18/21 12:08 PM,,CalStd,8,250,,245.573,1,,,250,0.3,660.536,31.5,250.576,0.4,250.861,0.4,251.984,0.3,250.025,0.4,255.202,0.2,256.235,0.4,251.625,0.8,249.207,0.5,250.566,0.9,251.144,0.3,253.256,0.7,251.646,1.2,250.558,0.6,250.511,0.2,253.237,1,252.341,0.3,,
