Strain,Label,Condition,Condition Order,Strain Order,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance,Significant Relative Change,Max Change
δpyrD,{\it \delta pyrD} LL,LL,1,19,Pyr,-0.0106,0.0032,4.2286E-02,*,-0.0045,0.0007,1.0731E-02,*,0.0129,0.0018,1.0042E-02,*,Y,0.0129
δpyrD,{\it \delta pyrD} LH,LH,2,19,Pyr,-0.0180,0.0023,7.7500E-03,**,-0.0146,0.0026,1.5419E-02,*,0.0290,0.0014,1.1955E-03,**,Y,0.0290
δpyrD,{\it \delta pyrD} HL,HL,3,19,Pyr,-0.0255,0.0171,1.6889E-01,,0.0007,0.0025,7.2137E-01,,0.0117,0.0063,1.1932E-01,,N,0.0255
δpyrC,{\it \delta pyrC} HH,HH,4,18,Pyr,0.0581,0.0159,3.5611E-02,*,-0.0091,0.0046,1.0766E-01,,-0.0174,0.0097,1.2696E-01,,Y,0.0581
δpyrC,{\it \delta pyrC} LL,LL,1,18,Pyr,-0.0038,0.0082,5.8152E-01,,0.0009,0.0035,7.4899E-01,,0.0020,0.0100,8.0147E-01,,N,0.0038
δpyrC,{\it \delta pyrC} LH,LH,2,18,Pyr,-0.0077,0.0148,5.3629E-01,,0.0025,0.0065,6.3952E-01,,0.0024,0.0174,8.6137E-01,,N,0.0077
δpyrC,{\it \delta pyrC} HL,HL,3,18,Pyr,0.0013,0.0068,8.1568E-01,,0.0024,0.0017,1.8273E-01,,-0.0027,0.0037,4.0457E-01,,N,0.0027
δmshQ,{\it \delta mshQ} HH,HH,4,4,MSHA,0.0052,0.0101,5.4370E-01,,0.0055,0.0029,1.1511E-01,,-0.0080,0.0033,7.5954E-02,,N,0.0080
δmshQ,{\it \delta mshQ} LL,LL,1,4,MSHA,0.0037,0.0018,9.8270E-02,,0.0007,0.0025,7.1437E-01,,-0.0037,0.0023,1.5558E-01,,N,0.0037
δmshQ,{\it \delta mshQ} LH,LH,2,4,MSHA,-0.0045,0.0061,4.1041E-01,,-0.0073,0.0023,4.7848E-02,*,0.0114,0.0064,1.2968E-01,,Y,0.0114
δmshQ,{\it \delta mshQ} HL,HL,3,4,MSHA,0.0089,0.0154,4.9974E-01,,-0.0004,0.0040,9.0589E-01,,-0.0042,0.0042,2.8895E-01,,N,0.0089
δmshL,{\it \delta mshL} HH,HH,4,9,MSHA,0.0482,0.0279,1.3440E-01,,-0.0081,0.0114,4.2091E-01,,-0.0131,0.0162,3.7117E-01,,N,0.0482
δmshL,{\it \delta mshL} LL,LL,1,9,MSHA,-0.0062,0.0013,2.0063E-02,*,0.0001,0.0053,9.8305E-01,,0.0049,0.0065,3.9458E-01,,Y,0.0062
δmshL,{\it \delta mshL} LH,LH,2,9,MSHA,-0.0149,0.0058,6.8089E-02,,-0.0043,0.0081,5.2751E-01,,0.0154,0.0117,2.0504E-01,,N,0.0154
