Strain,La Rel Mean,La Rel SD,La p-value,Eu Rel Mean,Eu Rel SD,Eu p-value,Yb Rel Mean,Yb Rel SD,Yb p-value
qwt,0.0252,0.0178,1.8294E-01,-0.0219,0.0017,2.9282E-03,0.0078,0.0077,2.8689E-01
qwt2,0.0196,0.0107,1.2098E-01,0.0015,0.0052,7.1291E-01,-0.0096,0.0066,1.7552E-01
qwt3,0.0192,0.0154,2.1871E-01,-0.0057,0.0016,3.5251E-02,-0.0031,0.0052,4.8826E-01
qwt4,0.0009,0.0108,9.1402E-01,0.0040,0.0051,3.7454E-01,-0.0040,0.0034,2.3750E-01
