Strain,La Rel Mean,La Rel SD,La p-value,Eu Rel Mean,Eu Rel SD,Eu p-value,Yb Rel Mean,Yb Rel SD,Yb p-value
qwt,0.0009,0.0033,7.3897E-01,-0.0036,0.0042,3.5599E-01,0.0031,0.0044,4.3259E-01
qwt2,0.0068,0.0017,3.1647E-02,0.0010,0.0025,6.3048E-01,-0.0061,0.0025,7.3427E-02
qwt3,-0.0040,0.0048,3.6038E-01,0.0000,0.0019,9.8503E-01,0.0031,0.0045,4.3559E-01
qwt4,-0.0062,0.0041,1.6963E-01,0.0021,0.0020,2.6653E-01,0.0027,0.0053,5.4666E-01
