Strain,La Rel Mean,La Rel SD,La p-value,Eu Rel Mean,Eu Rel SD,Eu p-value,Yb Rel Mean,Yb Rel SD,Yb p-value
qwt,-0.0303,0.0160,1.1598E-01,0.0018,0.0025,4.1440E-01,0.0114,0.0074,1.6360E-01
qwt2,0.0432,0.0269,1.5081E-01,-0.0091,0.0078,2.4323E-01,-0.0087,0.0048,1.2433E-01
qwt3,0.0641,0.0108,1.3986E-02,-0.0099,0.0082,2.3188E-01,-0.0152,0.0089,1.3797E-01
qwt4,-0.0181,0.0265,4.3610E-01,0.0040,0.0114,6.6969E-01,0.0045,0.0020,8.4762E-02
