Strain,Label,La Biosorption,Eu Biosorption,Yb Biosorption,Total REE,Total SD,p-value,Significance
wtr1,WT rec1,2.4557,3.3025,3.6733,9.4315,0.3221,3.3148E-01,
wtr2,WT rec2,2.3328,3.2288,3.6278,9.1894,0.2005,5.5106E-01,
wt,WT,2.1864,3.1539,3.5561,8.8964,0.6049,1.0000E+00,
