Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(3, 9)",610,0.2715,730,67
"(3, 9)",620,0.2363,731,67
"(3, 9)",630,0.2091,732,67
"(3, 9)",640,0.2156,733,67
"(3, 9)",650,0.2492,734,67
"(3, 9)",660,0.2448,735,67
"(3, 9)",670,0.176,736,67
"(3, 9)",680,0.1032,737,67
"(4, 9)",580,0.2841,738,68
"(4, 9)",590,0.2162,739,68
"(4, 9)",600,0.1617,740,68
"(4, 9)",610,0.1261,741,68
"(4, 9)",620,0.104,742,68
"(4, 9)",630,0.0899,743,68
"(4, 9)",640,0.0846,744,68
"(4, 9)",650,0.0818,745,68
"(4, 9)",660,0.0704,746,68
"(4, 9)",670,0.0477,747,68
"(4, 9)",680,0.0281,748,68
"(5, 9)",580,0.2837,749,69
"(5, 9)",590,0.2736,750,69
"(5, 9)",600,0.2773,751,69
"(5, 9)",610,0.2697,752,69
"(5, 9)",620,0.2347,753,69
"(5, 9)",630,0.2073,754,69
"(5, 9)",640,0.214,755,69
"(5, 9)",650,0.2476,756,69
"(5, 9)",660,0.2431,757,69
"(5, 9)",670,0.1749,758,69
"(5, 9)",680,0.1023,759,69
"(6, 9)",580,0.2854,760,70
"(6, 9)",590,0.2141,761,70
"(6, 9)",600,0.1566,762,70
"(6, 9)",610,0.1193,763,70
"(6, 9)",620,0.0974,764,70
"(6, 9)",630,0.0843,765,70
"(6, 9)",640,0.0778,766,70
"(6, 9)",650,0.0735,767,70
"(6, 9)",660,0.0622,768,70
"(6, 9)",670,0.0419,769,70
"(6, 9)",680,0.0242,770,70
"(7, 9)",580,0.2839,771,71
"(7, 9)",590,0.2733,772,71
"(7, 9)",600,0.2773,773,71
"(7, 9)",610,0.2699,774,71
"(7, 9)",620,0.2348,775,71
"(7, 9)",630,0.2079,776,71
"(7, 9)",640,0.2146,777,71
"(7, 9)",650,0.2479,778,71
"(7, 9)",660,0.2438,779,71
"(7, 9)",670,0.1749,780,71
"(7, 9)",680,0.1025,781,71
"(8, 9)",580,0.2839,782,72
"(8, 9)",590,0.2169,783,72
"(8, 9)",600,0.1629,784,72
"(8, 9)",610,0.1275,785,72
"(8, 9)",620,0.1053,786,72
"(8, 9)",630,0.0917,787,72
"(8, 9)",640,0.0866,788,72
"(8, 9)",650,0.085,789,72
"(8, 9)",660,0.074,790,72
"(8, 9)",670,0.0499,791,72
"(8, 9)",680,0.0285,792,72
"(1, 10)",580,0.279,793,73
"(1, 10)",590,0.2214,794,73
"(1, 10)",600,0.1765,795,73
"(1, 10)",610,0.145,796,73
"(1, 10)",620,0.1215,797,73
"(1, 10)",630,0.1079,798,73
"(1, 10)",640,0.1063,799,73
"(1, 10)",650,0.1111,800,73
"(1, 10)",660,0.101,801,73
"(1, 10)",670,0.0694,802,73
"(1, 10)",680,0.0405,803,73
"(2, 10)",580,0.2832,804,74
"(2, 10)",590,0.2724,805,74
"(2, 10)",600,0.2758,806,74
"(2, 10)",610,0.2685,807,74
"(2, 10)",620,0.2334,808,74
"(2, 10)",630,0.2065,809,74
"(2, 10)",640,0.2134,810,74
"(2, 10)",650,0.2467,811,74
"(2, 10)",660,0.2421,812,74
"(2, 10)",670,0.1736,813,74
"(2, 10)",680,0.1021,814,74
"(3, 10)",580,0.2843,815,75
"(3, 10)",590,0.2208,816,75
"(3, 10)",600,0.1703,817,75
"(3, 10)",610,0.136,818,75
"(3, 10)",620,0.1132,819,75
"(3, 10)",630,0.0998,820,75
"(3, 10)",640,0.0961,821,75
"(3, 10)",650,0.0977,822,75
"(3, 10)",660,0.0867,823,75
"(3, 10)",670,0.0591,824,75
"(3, 10)",680,0.0337,825,75
"(4, 10)",580,0.2816,826,76
"(4, 10)",590,0.2716,827,76
"(4, 10)",600,0.2769,828,76
"(4, 10)",610,0.2702,829,76
"(4, 10)",620,0.2357,830,76
"(4, 10)",630,0.208,831,76
"(4, 10)",640,0.2144,832,76
"(4, 10)",650,0.248,833,76
"(4, 10)",660,0.2439,834,76
"(4, 10)",670,0.1754,835,76
"(4, 10)",680,0.1031,836,76
"(5, 10)",580,0.2837,837,77
"(5, 10)",590,0.2201,838,77
"(5, 10)",600,0.1695,839,77
"(5, 10)",610,0.1351,840,77
"(5, 10)",620,0.1126,841,77
"(5, 10)",630,0.0986,842,77
"(5, 10)",640,0.0953,843,77
"(5, 10)",650,0.0966,844,77
"(5, 10)",660,0.0857,845,77
"(5, 10)",670,0.0582,846,77
"(5, 10)",680,0.0332,847,77
"(6, 10)",580,0.2831,848,78
"(6, 10)",590,0.2734,849,78
"(6, 10)",600,0.2783,850,78
"(6, 10)",610,0.2714,851,78
"(6, 10)",620,0.2365,852,78
"(6, 10)",630,0.2088,853,78
"(6, 10)",640,0.2152,854,78
"(6, 10)",650,0.2488,855,78
"(6, 10)",660,0.2447,856,78
"(6, 10)",670,0.1762,857,78
"(6, 10)",680,0.1032,858,78
"(7, 10)",580,0.2844,859,79
"(7, 10)",590,0.2177,860,79
"(7, 10)",600,0.1641,861,79
"(7, 10)",610,0.1288,862,79
"(7, 10)",620,0.1063,863,79
"(7, 10)",630,0.0928,864,79
"(7, 10)",640,0.0881,865,79
"(7, 10)",650,0.0873,866,79
"(7, 10)",660,0.0762,867,79
"(7, 10)",670,0.0516,868,79
"(7, 10)",680,0.0296,869,79
"(8, 10)",580,0.2827,870,80
"(8, 10)",590,0.273,871,80
"(8, 10)",600,0.2777,872,80
"(8, 10)",610,0.2712,873,80
"(8, 10)",620,0.2357,874,80
"(8, 10)",630,0.2082,875,80
"(8, 10)",640,0.2146,876,80
"(8, 10)",650,0.2481,877,80
"(8, 10)",660,0.2442,878,80
"(8, 10)",670,0.1761,879,80
"(8, 10)",680,0.103,880,80
"(1, 11)",580,0.2852,881,81
"(1, 11)",590,0.2744,882,81
"(1, 11)",600,0.2777,883,81
"(1, 11)",610,0.2704,884,81
"(1, 11)",620,0.2355,885,81
"(1, 11)",630,0.2085,886,81
"(1, 11)",640,0.2152,887,81
"(1, 11)",650,0.2487,888,81
"(1, 11)",660,0.244,889,81
"(1, 11)",670,0.1753,890,81
"(1, 11)",680,0.1028,891,81
"(2, 11)",580,0.2887,892,82
"(2, 11)",590,0.237,893,82
"(2, 11)",600,0.1938,894,82
"(2, 11)",610,0.1577,895,82
"(2, 11)",620,0.131,896,82
"(2, 11)",630,0.1173,897,82
"(2, 11)",640,0.1176,898,82
"(2, 11)",650,0.1216,899,82
"(2, 11)",660,0.1058,900,82
"(2, 11)",670,0.0708,901,82
"(2, 11)",680,0.04,902,82
"(3, 11)",580,0.2849,903,83
"(3, 11)",590,0.2742,904,83
"(3, 11)",600,0.2782,905,83
"(3, 11)",610,0.271,906,83
"(3, 11)",620,0.2356,907,83
"(3, 11)",630,0.2084,908,83
"(3, 11)",640,0.2154,909,83
"(3, 11)",650,0.2488,910,83
"(3, 11)",660,0.2443,911,83
"(3, 11)",670,0.1753,912,83
"(3, 11)",680,0.1027,913,83
"(4, 11)",580,0.2837,914,84
"(4, 11)",590,0.2209,915,84
"(4, 11)",600,0.1704,916,84
"(4, 11)",610,0.1363,917,84
"(4, 11)",620,0.1134,918,84
"(4, 11)",630,0.0997,919,84
"(4, 11)",640,0.0963,920,84
"(4, 11)",650,0.0979,921,84
"(4, 11)",660,0.0871,922,84
"(4, 11)",670,0.0593,923,84
"(4, 11)",680,0.0338,924,84
"(5, 11)",580,0.2857,925,85
"(5, 11)",590,0.275,926,85
"(5, 11)",600,0.2787,927,85
"(5, 11)",610,0.2718,928,85
"(5, 11)",620,0.2365,929,85
"(5, 11)",630,0.2088,930,85
"(5, 11)",640,0.2153,931,85
"(5, 11)",650,0.2488,932,85
"(5, 11)",660,0.2444,933,85
"(5, 11)",670,0.1757,934,85
"(5, 11)",680,0.1027,935,85
"(6, 11)",580,0.2832,936,86
"(6, 11)",590,0.2201,937,86
"(6, 11)",600,0.1697,938,86
"(6, 11)",610,0.1363,939,86
"(6, 11)",620,0.113,940,86
"(6, 11)",630,0.0996,941,86
"(6, 11)",640,0.0966,942,86
"(6, 11)",650,0.0981,943,86
"(6, 11)",660,0.0874,944,86
"(6, 11)",670,0.0595,945,86
"(6, 11)",680,0.0337,946,86
"(7, 11)",580,0.2845,947,87
"(7, 11)",590,0.273,948,87
"(7, 11)",600,0.2763,949,87
"(7, 11)",610,0.2687,950,87
"(7, 11)",620,0.2339,951,87
"(7, 11)",630,0.2067,952,87
"(7, 11)",640,0.2133,953,87
"(7, 11)",650,0.2468,954,87
"(7, 11)",660,0.2423,955,87
"(7, 11)",670,0.1737,956,87
"(7, 11)",680,0.1017,957,87
"(8, 11)",580,0.2858,958,88
"(8, 11)",590,0.2186,959,88
"(8, 11)",600,0.1649,960,88
"(8, 11)",610,0.129,961,88
"(8, 11)",620,0.1064,962,88
"(8, 11)",630,0.0931,963,88
"(8, 11)",640,0.0884,964,88
"(8, 11)",650,0.0872,965,88
"(8, 11)",660,0.0759,966,88
"(8, 11)",670,0.0515,967,88
"(8, 11)",680,0.0296,968,88
"(1, 12)",580,0.2804,969,89
"(1, 12)",590,0.2219,970,89
"(1, 12)",600,0.1758,971,89
"(1, 12)",610,0.1442,972,89
"(1, 12)",620,0.1214,973,89
"(1, 12)",630,0.107,974,89
"(1, 12)",640,0.1053,975,89
"(1, 12)",650,0.1099,976,89
"(1, 12)",660,0.0992,977,89
"(1, 12)",670,0.0685,978,89
"(1, 12)",680,0.0397,979,89
"(2, 12)",580,0.2836,980,90
"(2, 12)",590,0.2735,981,90
"(2, 12)",600,0.2779,982,90
"(2, 12)",610,0.2708,983,90
"(2, 12)",620,0.2357,984,90
"(2, 12)",630,0.2084,985,90
"(2, 12)",640,0.2147,986,90
"(2, 12)",650,0.2483,987,90
"(2, 12)",660,0.2438,988,90
"(2, 12)",670,0.1752,989,90
"(2, 12)",680,0.1028,990,90
"(3, 12)",580,0.2843,991,91
"(3, 12)",590,0.2212,992,91
"(3, 12)",600,0.1707,993,91
"(3, 12)",610,0.1368,994,91
"(3, 12)",620,0.1138,995,91
"(3, 12)",630,0.1001,996,91
"(3, 12)",640,0.0967,997,91
"(3, 12)",650,0.0985,998,91
"(3, 12)",660,0.0878,999,91
"(3, 12)",670,0.06,1000,91
"(3, 12)",680,0.0343,1001,91
"(4, 12)",580,0.2831,1002,92
"(4, 12)",590,0.2736,1003,92
"(4, 12)",600,0.278,1004,92
"(4, 12)",610,0.2718,1005,92
"(4, 12)",620,0.2363,1006,92
"(4, 12)",630,0.2088,1007,92
"(4, 12)",640,0.2152,1008,92
"(4, 12)",650,0.2487,1009,92
"(4, 12)",660,0.2446,1010,92
"(4, 12)",670,0.1762,1011,92
"(4, 12)",680,0.1032,1012,92
"(5, 12)",580,0.2839,1013,93
"(5, 12)",590,0.2196,1014,93
"(5, 12)",600,0.1682,1015,93
"(5, 12)",610,0.1337,1016,93
"(5, 12)",620,0.1111,1017,93
"(5, 12)",630,0.0973,1018,93
"(5, 12)",640,0.0935,1019,93
"(5, 12)",650,0.0944,1020,93
"(5, 12)",660,0.0838,1021,93
"(5, 12)",670,0.0567,1022,93
"(5, 12)",680,0.0325,1023,93
"(6, 12)",580,0.2846,1024,94
"(6, 12)",590,0.2757,1025,94
"(6, 12)",600,0.2803,1026,94
"(6, 12)",610,0.2724,1027,94
"(6, 12)",620,0.237,1028,94
"(6, 12)",630,0.2098,1029,94
"(6, 12)",640,0.2165,1030,94
"(6, 12)",650,0.2494,1031,94
"(6, 12)",660,0.2438,1032,94
"(6, 12)",670,0.1754,1033,94
"(6, 12)",680,0.1028,1034,94
"(7, 12)",580,0.2789,1035,95
"(7, 12)",590,0.2151,1036,95
"(7, 12)",600,0.1644,1037,95
"(7, 12)",610,0.1305,1038,95
"(7, 12)",620,0.1084,1039,95
"(7, 12)",630,0.0951,1040,95
"(7, 12)",640,0.091,1041,95
"(7, 12)",650,0.0916,1042,95
"(7, 12)",660,0.0809,1043,95
"(7, 12)",670,0.0551,1044,95
"(7, 12)",680,0.0313,1045,95
"(8, 12)",580,0.2834,1046,96
"(8, 12)",590,0.2738,1047,96
"(8, 12)",600,0.2789,1048,96
"(8, 12)",610,0.2724,1049,96
"(8, 12)",620,0.2371,1050,96
"(8, 12)",630,0.2094,1051,96
"(8, 12)",640,0.2152,1052,96
"(8, 12)",650,0.2486,1053,96
"(8, 12)",660,0.2453,1054,96
"(8, 12)",670,0.1769,1055,96
"(8, 12)",680,0.1037,1056,96
