Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(6, 2)",610,0.2724,147,14
"(6, 2)",620,0.2372,148,14
"(6, 2)",630,0.2092,149,14
"(6, 2)",640,0.2157,150,14
"(6, 2)",650,0.2492,151,14
"(6, 2)",660,0.2455,152,14
"(6, 2)",670,0.177,153,14
"(6, 2)",680,0.1036,154,14
"(7, 2)",580,0.2868,155,15
"(7, 2)",590,0.2236,156,15
"(7, 2)",600,0.1736,157,15
"(7, 2)",610,0.1402,158,15
"(7, 2)",620,0.1167,159,15
"(7, 2)",630,0.1024,160,15
"(7, 2)",640,0.0993,161,15
"(7, 2)",650,0.1014,162,15
"(7, 2)",660,0.0906,163,15
"(7, 2)",670,0.0619,164,15
"(7, 2)",680,0.0351,165,15
"(8, 2)",580,0.2837,166,16
"(8, 2)",590,0.2733,167,16
"(8, 2)",600,0.2776,168,16
"(8, 2)",610,0.2711,169,16
"(8, 2)",620,0.2354,170,16
"(8, 2)",630,0.2077,171,16
"(8, 2)",640,0.2141,172,16
"(8, 2)",650,0.248,173,16
"(8, 2)",660,0.2444,174,16
"(8, 2)",670,0.176,175,16
"(8, 2)",680,0.1026,176,16
"(1, 3)",580,0.2809,177,17
"(1, 3)",590,0.2714,178,17
"(1, 3)",600,0.2765,179,17
"(1, 3)",610,0.27,180,17
"(1, 3)",620,0.2355,181,17
"(1, 3)",630,0.2076,182,17
"(1, 3)",640,0.2137,183,17
"(1, 3)",650,0.2469,184,17
"(1, 3)",660,0.2428,185,17
"(1, 3)",670,0.1748,186,17
"(1, 3)",680,0.1025,187,17
"(2, 3)",580,0.2846,188,18
"(2, 3)",590,0.2201,189,18
"(2, 3)",600,0.1689,190,18
"(2, 3)",610,0.1347,191,18
"(2, 3)",620,0.1116,192,18
"(2, 3)",630,0.0976,193,18
"(2, 3)",640,0.094,194,18
"(2, 3)",650,0.095,195,18
"(2, 3)",660,0.084,196,18
"(2, 3)",670,0.0574,197,18
"(2, 3)",680,0.0326,198,18
"(3, 3)",580,0.288,199,19
"(3, 3)",590,0.2763,200,19
"(3, 3)",600,0.2792,201,19
