Time,La %change mean,La %change sd,Eu %change mean,Eu %change sd,Yb %change mean,Yb %change sd
42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,-0.0040,0.1531,0.0082,0.1535,0.0278,0.1373
138,-0.2138,0.1142,-0.1636,0.1099,-0.1281,0.0930
