Time,Eu-La mean,Eu-La sd,Yb-La mean,Yb_La sd
42,2.6244,0.0393,2.6031,0.0566
74,2.8268,0.0627,2.8357,0.0864
138,3.2198,0.1092,3.1507,0.1604
